1st_Road_Number,Police_Force,Year,heure_num,Day_of_Week,2nd_Road_Number,1st_Road_Class,Number_of_Vehicles,Number_of_Casualties,Speed_limit,Accident_Severity
0,22,2006,15.0,6,0,6,2,1,30,3
0,14,2010,18.0,4,0,6,1,2,30,3
6243,4,2005,19.0,1,0,4,2,1,30,3
1149,36,2010,15.0,5,1354,4,2,2,30,3
0,52,2005,21.0,3,0,6,1,1,30,3
0,60,2009,20.0,7,0,6,3,3,30,3
6136,12,2012,10.0,6,1178,3,5,5,60,3
1018,10,2011,19.0,3,0,3,2,1,30,3
6034,31,2009,19.0,3,0,4,2,2,60,3
0,12,2006,15.0,7,0,6,1,1,30,3
0,1,2009,20.0,4,0,5,1,1,30,3
0,6,2006,15.0,3,0,6,2,1,30,3
680,6,2009,16.0,5,0,3,2,1,30,2
312,1,2012,14.0,4,0,3,2,2,30,3
0,22,2007,17.0,5,0,6,2,1,30,3
5199,34,2007,11.0,5,3,3,3,2,40,3
0,94,2009,23.0,5,0,6,2,2,30,2
0,4,2014,19.0,6,0,6,1,1,20,3
1029,42,2006,10.0,7,0,4,1,1,60,2
0,1,2007,22.0,6,0,6,2,3,30,3
280,35,2007,0.0,5,0,5,1,1,30,3
0,6,2009,14.0,4,0,6,2,1,30,3
30,50,2014,18.0,1,0,3,1,1,70,3
14,35,2014,16.0,6,0,3,3,1,70,3
595,3,2010,15.0,5,-1,3,4,1,60,3
9,43,2013,14.0,5,0,5,2,1,40,3
10,41,2010,18.0,5,0,3,1,1,50,2
6191,31,2012,19.0,1,0,3,2,3,60,3
53,21,2013,17.0,6,86,3,1,1,30,3
45,23,2005,8.0,2,0,3,2,2,60,1
270,47,2006,8.0,4,0,3,1,1,30,3
5605,60,2012,9.0,4,483,4,2,1,60,3
5097,60,2006,18.0,2,0,4,2,4,30,3
0,5,2012,17.0,5,0,6,2,2,30,3
47,35,2005,17.0,4,47,3,3,2,70,3
226,46,2010,21.0,5,0,3,1,1,30,3
201,48,2014,9.0,2,0,3,1,1,30,3
77,97,2005,16.0,2,726,1,2,1,40,3
27,47,2006,17.0,5,0,3,3,2,70,3
3,1,2013,8.0,3,0,3,2,1,30,2
0,1,2009,17.0,3,0,6,2,1,30,3
7201,43,2012,13.0,6,7201,6,2,1,30,3
264,47,2009,18.0,4,0,3,2,1,30,2
1075,37,2012,8.0,3,0,4,2,1,30,3
0,6,2007,14.0,6,5102,5,2,1,30,3
0,55,2010,9.0,6,0,6,2,1,30,3
0,35,2006,18.0,6,0,6,4,1,30,2
631,14,2007,16.0,6,0,3,1,1,30,3
0,95,2009,14.0,5,0,6,1,1,30,3
1348,95,2014,20.0,3,0,4,2,2,30,3
0,13,2007,8.0,5,0,6,2,3,60,3
0,42,2009,18.0,2,0,6,3,1,30,3
409,41,2006,18.0,4,562,6,2,1,30,3
83,97,2010,16.0,7,0,3,2,2,60,1
0,61,2011,14.0,1,0,6,2,1,30,3
479,63,2005,10.0,1,0,3,2,2,60,2
4086,60,2006,10.0,7,0,3,2,1,60,3
1298,10,2009,8.0,5,417,4,2,1,30,3
2133,43,2010,17.0,7,0,6,1,1,30,3
23,45,2005,5.0,4,0,1,2,1,70,3
3,45,2005,18.0,4,25,1,2,1,70,3
226,53,2007,20.0,7,0,5,1,1,30,3
5149,6,2012,13.0,3,5149,3,3,1,30,3
4119,62,2014,8.0,4,0,3,1,1,30,3
401,1,2014,12.0,4,0,3,1,1,30,3
227,36,2006,13.0,7,335,5,2,1,60,3
0,1,2010,17.0,2,0,6,1,1,30,2
6,40,2007,8.0,7,421,3,2,1,60,3
0,52,2010,17.0,1,0,6,1,1,30,3
0,1,2006,17.0,4,0,6,2,2,30,3
746,50,2009,9.0,5,0,5,1,3,30,3
3,44,2014,9.0,2,0,3,2,2,70,2
297,41,2005,7.0,2,144,6,2,2,30,3
0,36,2010,13.0,1,0,6,1,1,30,3
4201,1,2011,17.0,6,406,3,2,1,30,3
0,55,2011,13.0,5,0,6,2,1,30,3
40,1,2005,12.0,1,0,3,2,2,70,2
11,1,2012,4.0,5,12,3,2,1,30,3
329,43,2012,11.0,7,0,3,1,1,30,3
0,17,2013,17.0,2,0,6,2,1,40,3
444,23,2011,8.0,2,0,3,2,1,30,3
256,46,2011,5.0,7,0,3,2,1,30,3
0,30,2006,15.0,2,0,6,1,1,30,3
0,17,2005,8.0,2,0,6,2,1,30,3
565,5,2009,12.0,6,0,3,2,1,30,3
0,4,2005,20.0,6,0,6,1,1,30,3
1301,35,2006,15.0,2,249,3,2,1,60,3
1036,12,2009,15.0,6,0,3,2,1,30,2
0,50,2010,10.0,6,0,6,1,1,30,3
664,21,2007,17.0,5,90,5,2,1,30,3
582,4,2010,18.0,4,5083,3,2,2,60,3
5059,5,2010,12.0,5,5036,3,1,1,30,3
423,14,2010,15.0,2,423,5,2,1,30,2
39,52,2010,13.0,4,0,3,2,2,50,3
0,17,2013,1.0,1,112,6,2,3,30,3
0,36,2009,10.0,3,0,6,1,1,30,3
53,22,2005,16.0,5,0,3,2,2,60,2
4000,1,2013,12.0,2,0,3,2,1,30,3
4140,1,2007,17.0,4,0,3,2,1,30,3
377,45,2009,18.0,2,0,4,3,3,30,3
25,46,2009,4.0,7,0,1,2,1,70,3
0,1,2009,9.0,5,0,6,1,1,30,3
0,13,2012,13.0,4,0,6,1,1,30,3
721,97,2005,17.0,4,0,3,2,1,40,3
1298,10,2005,13.0,7,436,4,2,1,30,3
1079,12,2009,17.0,1,1228,3,2,1,40,2
4003,46,2009,13.0,4,0,6,2,1,30,3
562,7,2010,16.0,1,0,3,2,2,50,3
0,20,2006,13.0,2,0,6,1,1,30,3
369,52,2013,8.0,2,0,3,1,1,30,2
1231,10,2005,13.0,3,1231,3,2,2,30,3
53,7,2014,19.0,3,0,1,1,2,70,3
0,46,2005,17.0,4,0,6,1,1,30,2
501,1,2014,14.0,5,501,3,2,1,30,3
38,43,2006,14.0,4,880,6,2,2,60,3
0,6,2006,16.0,5,62,6,1,1,30,3
170,12,2014,18.0,3,8010,3,2,2,60,3
0,60,2011,16.0,3,0,6,2,1,30,3
1263,12,2009,14.0,2,0,4,2,1,60,3
380,53,2011,16.0,7,0,5,2,2,30,3
412,41,2012,11.0,2,0,3,3,1,30,2
83,97,2005,13.0,5,0,3,2,1,30,3
0,13,2012,8.0,4,0,6,2,1,30,3
32,54,2011,19.0,7,0,5,1,1,30,3
666,4,2013,21.0,1,0,3,2,2,30,3
7002,95,2012,18.0,6,0,4,2,2,30,3
5178,5,2011,17.0,6,0,4,2,2,60,3
59,5,2010,14.0,6,0,3,2,1,30,3
548,60,2007,10.0,4,548,3,2,1,30,3
69,21,2009,2.0,6,69,6,1,1,30,2
686,31,2006,8.0,4,0,4,1,1,30,2
45,50,2006,11.0,5,0,5,2,1,60,3
422,43,2005,4.0,4,4034,3,1,1,70,3
0,14,2009,19.0,7,0,6,2,1,40,3
4118,62,2014,10.0,2,0,3,1,1,30,2
0,60,2006,0.0,7,0,6,2,1,40,3
232,1,2006,13.0,5,0,3,2,1,30,3
0,12,2006,11.0,6,0,6,1,1,30,3
387,50,2007,14.0,5,0,3,3,2,60,3
39,52,2014,7.0,6,0,3,2,1,40,3
6,30,2012,21.0,5,0,3,1,1,50,3
259,47,2007,15.0,6,0,3,2,1,30,3
1393,42,2007,17.0,2,0,4,3,1,40,3
35,50,2009,15.0,6,0,3,2,3,30,3
0,6,2007,9.0,2,0,5,3,1,30,3
110,1,2005,19.0,4,0,3,2,1,30,3
0,61,2005,19.0,3,0,6,1,1,30,2
4,54,2014,5.0,7,0,1,1,1,70,2
0,7,2014,19.0,7,0,6,2,3,30,3
303,52,2007,22.0,5,0,3,7,2,70,1
586,4,2012,18.0,3,0,3,2,1,30,3
0,1,2012,17.0,2,0,6,2,1,30,3
1009,7,2005,18.0,1,1015,5,2,3,60,3
5,1,2007,15.0,5,451,3,1,1,30,3
0,52,2007,7.0,6,0,6,2,1,30,3
513,21,2007,20.0,6,51,3,1,1,30,3
0,1,2012,17.0,2,0,6,1,1,30,3
0,44,2009,23.0,7,0,6,1,1,30,3
585,4,2014,12.0,2,5260,3,2,1,50,3
0,4,2007,13.0,6,0,6,2,1,50,3
0,6,2006,16.0,1,0,6,1,1,30,3
466,61,2007,16.0,4,0,3,2,1,60,3
0,44,2012,18.0,6,0,6,1,1,30,2
0,20,2009,22.0,3,0,6,2,4,30,3
1119,35,2007,12.0,6,57,3,2,1,30,3
0,44,2006,8.0,5,0,6,2,1,30,3
1010,1,2009,17.0,4,0,3,1,1,30,2
318,45,2011,20.0,6,0,3,2,1,30,3
426,10,2005,17.0,2,426,6,3,2,30,3
5,23,2007,8.0,3,0,3,2,1,50,3
2205,46,2013,18.0,6,2205,4,1,1,30,3
712,98,2012,14.0,1,0,3,1,1,60,2
0,95,2013,8.0,5,0,6,2,1,30,3
307,45,2011,19.0,3,0,3,2,1,40,3
0,42,2012,18.0,5,0,6,1,1,30,3
0,16,2011,15.0,1,0,6,2,1,30,3
0,20,2005,22.0,4,0,6,3,2,30,3
461,20,2010,7.0,1,0,3,1,1,30,1
0,1,2013,4.0,1,0,5,4,2,30,3
0,92,2007,16.0,1,-1,6,1,1,60,3
39,50,2007,9.0,5,0,3,2,2,60,3
195,10,2005,15.0,1,1231,3,1,2,60,3
710,98,2010,18.0,2,1,3,2,1,30,3
0,97,2014,16.0,2,0,6,1,1,30,3
0,1,2010,22.0,7,0,6,2,2,30,3
0,1,2013,7.0,2,0,5,2,1,30,3
86,41,2010,23.0,5,0,5,2,2,60,3
6,4,2005,11.0,5,0,3,3,5,30,3
3400,23,2014,10.0,7,0,3,1,1,30,3
35,55,2013,15.0,5,0,3,2,2,40,3
0,62,2005,10.0,5,0,6,1,1,30,3
331,45,2009,17.0,6,0,3,2,2,30,3
13,42,2012,13.0,6,0,3,1,1,40,3
102,1,2014,8.0,6,0,4,2,1,30,3
653,13,2006,22.0,7,0,3,2,1,40,3
19,10,2005,16.0,6,1,3,2,1,60,3
479,41,2010,13.0,5,878,6,2,1,30,3
0,95,2010,15.0,3,0,6,2,1,30,3
0,46,2006,8.0,2,0,6,2,2,60,3
1079,16,2005,17.0,7,0,3,1,1,60,2
0,13,2014,16.0,5,0,5,1,1,30,2
5166,6,2011,15.0,2,0,4,2,2,30,3
2123,47,2007,16.0,2,0,4,4,5,60,3
0,50,2010,23.0,7,0,6,1,3,60,3
188,11,2012,10.0,2,0,5,2,1,30,3
12,37,2012,8.0,5,1070,3,2,1,70,3
4140,1,2013,19.0,3,0,3,1,1,30,3
3,44,2007,22.0,2,0,1,2,1,70,3
0,1,2009,17.0,4,0,6,1,1,30,3
562,5,2006,6.0,1,0,3,1,1,30,3
25,45,2006,17.0,6,0,3,2,1,30,3
0,30,2006,23.0,7,0,6,2,1,30,3
214,1,2012,8.0,5,0,3,2,1,30,3
38,50,2011,11.0,6,0,3,2,1,50,3
0,32,2009,8.0,4,0,6,1,1,60,3
0,6,2012,18.0,2,0,5,1,1,30,3
0,44,2006,11.0,7,0,6,2,1,30,3
4215,53,2013,20.0,5,0,4,1,1,30,2
13,42,2005,8.0,3,0,3,2,1,30,3
4,52,2007,13.0,2,0,3,3,1,30,3
3153,52,2006,6.0,2,3153,4,1,1,30,3
455,1,2012,19.0,5,0,4,2,1,30,3
238,1,2012,8.0,3,0,3,2,1,30,3
0,44,2009,16.0,6,0,6,3,1,30,3
725,97,2005,22.0,1,0,3,2,2,30,3
5327,33,2005,6.0,6,1369,4,1,1,30,3
203,1,2014,13.0,6,203,3,2,1,30,3
0,20,2011,14.0,5,0,6,1,1,30,3
2030,44,2011,11.0,6,0,3,2,1,50,3
0,50,2005,17.0,6,0,6,2,1,30,2
59,4,2010,11.0,5,59,3,4,4,40,3
9006,43,2005,15.0,2,0,5,4,3,60,3
3023,44,2009,13.0,6,0,3,1,1,40,2
1,35,2010,9.0,3,0,3,2,2,70,3
0,44,2013,18.0,2,0,6,2,1,30,3
618,14,2005,10.0,5,0,3,2,1,40,3
62,13,2013,23.0,3,0,1,2,5,70,2
0,44,2014,11.0,1,0,6,1,1,30,3
5049,5,2007,3.0,1,0,3,1,1,30,3
208,31,2014,15.0,6,0,5,2,1,30,3
614,36,2005,22.0,5,0,5,2,1,30,3
301,55,2009,8.0,4,0,5,2,1,30,3
39,50,2005,14.0,1,0,3,2,1,60,3
221,1,2006,21.0,3,0,4,1,1,30,2
334,45,2014,7.0,4,0,6,1,2,40,3
105,1,2010,19.0,6,0,3,1,1,30,2
244,45,2013,19.0,2,0,3,2,2,30,3
6469,6,2013,10.0,4,5103,4,2,1,30,3
971,91,2005,20.0,2,0,3,1,1,60,3
23,1,2006,19.0,6,23,3,3,1,30,3
0,1,2012,17.0,5,0,6,2,1,30,2
7415,43,2006,18.0,6,7415,6,2,1,30,2
0,95,2010,12.0,5,0,6,2,2,30,3
0,6,2006,17.0,6,0,6,1,1,30,3
3090,44,2006,14.0,6,0,3,2,2,60,3
0,44,2006,17.0,2,0,6,2,1,30,3
6008,31,2012,16.0,1,60,3,3,2,30,3
147,31,2012,19.0,3,0,5,2,1,30,3
6,4,2014,5.0,2,0,1,1,1,70,3
