1st_Road_Number,Police_Force,Year,heure_num,Day_of_Week,2nd_Road_Number,1st_Road_Class,Number_of_Vehicles,Number_of_Casualties,Speed_limit,Accident_Severity
482,63,2005,18.0,3,0,3,1,1,30,1
12,42,2011,12.0,1,0,3,1,2,70,2
6175,30,2014,15.0,7,0,3,2,1,30,2
660,13,2006,15.0,4,0,3,2,2,40,1
34,21,2011,14.0,3,45,3,2,2,60,1
49,22,2007,19.0,5,0,3,2,1,60,1
278,1,2012,12.0,6,0,4,2,1,30,1
5,22,2012,6.0,1,0,1,2,3,70,2
0,6,2013,18.0,1,0,5,1,1,30,2
4,1,2011,0.0,2,0,3,2,2,30,3
1010,1,2011,17.0,4,0,3,2,1,30,3
444,20,2011,16.0,4,0,3,2,1,40,2
0,35,2006,13.0,7,0,6,2,2,30,2
6057,30,2010,10.0,6,61,4,2,3,30,3
4311,54,2009,9.0,5,0,3,1,2,40,2
430,53,2007,17.0,6,8002,3,1,1,30,2
530,7,2007,23.0,3,0,3,3,6,60,1
68,10,2014,15.0,7,0,3,1,1,60,3
680,4,2014,23.0,3,0,3,1,2,50,1
2,1,2011,17.0,4,0,3,2,1,30,3
237,1,2006,8.0,2,0,3,2,1,30,2
545,47,2012,10.0,2,0,5,2,1,30,3
5009,21,2007,18.0,3,0,3,1,1,30,1
67,50,2007,8.0,6,0,5,2,1,30,3
0,5,2006,17.0,7,0,6,1,1,30,3
464,22,2009,19.0,2,0,3,3,3,60,3
0,4,2013,18.0,2,0,6,1,1,30,3
6428,14,2006,12.0,3,0,4,1,1,30,3
534,7,2005,19.0,7,609,3,2,1,60,2
0,4,2014,9.0,5,0,6,2,1,30,3
2130,45,2014,21.0,5,0,4,2,3,60,1
237,1,2011,13.0,2,0,3,1,1,30,3
50,21,2007,19.0,4,500,3,2,2,30,2
3078,55,2013,17.0,3,0,4,2,2,60,1
25,1,2011,17.0,3,0,1,2,2,70,2
6135,14,2005,15.0,4,0,3,1,2,60,2
5,34,2009,11.0,4,7041,5,2,1,30,3
1151,36,2009,20.0,3,0,3,2,1,30,3
406,1,2009,13.0,3,40,3,2,1,30,3
0,6,2012,19.0,6,0,5,1,1,60,1
0,6,2012,11.0,3,0,6,2,1,30,3
1219,16,2012,8.0,6,0,4,2,1,30,1
580,6,2012,20.0,7,0,3,2,3,50,1
154,1,2005,10.0,4,0,4,1,1,30,1
137,37,2007,20.0,3,0,3,1,1,60,1
0,4,2007,16.0,7,0,6,1,1,30,1
689,3,2006,14.0,1,0,3,1,1,60,3
70,97,2010,19.0,2,0,3,1,1,30,2
167,23,2005,20.0,3,45,5,3,2,30,1
0,22,2012,19.0,7,0,6,1,1,30,3
0,20,2005,15.0,4,0,6,1,2,40,1
1168,32,2005,18.0,7,0,4,1,1,30,2
207,1,2012,13.0,7,209,3,1,1,30,1
1365,12,2007,17.0,7,0,4,2,2,60,1
0,42,2006,1.0,2,0,6,2,5,30,2
517,1,2006,0.0,7,0,4,2,1,30,2
23,1,2012,11.0,3,0,3,1,1,30,1
0,62,2013,16.0,5,0,6,2,2,30,2
1026,42,2010,19.0,5,0,4,1,1,50,2
0,1,2014,18.0,6,0,6,2,1,30,3
0,55,2012,20.0,3,0,6,2,1,30,3
0,1,2012,17.0,7,0,6,2,1,30,3
5032,7,2011,18.0,7,0,3,2,2,30,3
34,21,2012,0.0,7,0,3,1,1,60,3
1048,7,2006,9.0,5,0,5,1,1,30,3
40,1,2009,8.0,7,0,3,2,1,40,3
19,17,2007,3.0,5,0,3,1,1,70,3
5032,7,2007,12.0,7,0,3,2,1,60,1
1108,36,2005,17.0,6,0,4,1,1,30,2
720,95,2005,13.0,1,0,3,3,1,70,3
52,33,2009,23.0,6,8304,3,2,2,60,1
6,21,2013,15.0,2,0,1,2,1,70,3
5366,33,2012,6.0,1,0,4,2,1,30,3
278,46,2006,17.0,4,0,3,2,1,50,3
0,6,2012,15.0,1,0,5,2,1,30,2
167,12,2007,22.0,7,0,3,3,2,60,1
0,12,2007,8.0,4,0,6,1,1,30,3
0,44,2006,16.0,3,0,6,2,1,30,3
1400,1,2007,23.0,4,0,3,3,2,30,1
12,42,2011,18.0,2,0,3,1,1,70,3
224,1,2013,17.0,5,0,4,2,1,30,3
9411,33,2005,13.0,4,9410,5,2,1,30,3
253,46,2007,10.0,2,0,3,2,2,60,1
4114,33,2005,7.0,6,3603,4,1,2,50,2
40,43,2012,8.0,3,0,1,2,1,70,1
205,1,2007,8.0,5,20,3,2,2,30,3
74,31,2006,15.0,1,0,5,2,4,60,1
1042,36,2007,10.0,2,0,3,2,1,30,3
0,16,2012,11.0,1,0,6,2,1,30,3
761,97,2006,8.0,2,0,3,3,1,60,2
5013,21,2013,9.0,7,149,3,2,1,40,3
0,62,2014,5.0,5,0,6,1,1,30,1
143,37,2007,18.0,4,-1,3,1,1,30,3
336,44,2014,22.0,1,0,3,1,1,30,1
0,4,2009,3.0,7,0,6,1,1,30,2
732,14,2010,7.0,5,0,5,1,1,30,2
48,61,2007,19.0,3,4293,3,2,2,30,3
0,47,2013,17.0,5,0,6,2,1,20,3
20,46,2011,8.0,1,0,3,2,1,70,2
4,1,2011,1.0,7,0,1,1,1,70,2
259,47,2006,2.0,7,0,3,1,1,50,1
425,20,2011,12.0,2,0,4,4,1,30,3
872,96,2013,8.0,2,8051,3,2,1,30,3
132,21,2013,19.0,5,0,5,1,2,60,3
3134,52,2006,17.0,2,0,4,2,2,60,1
0,50,2014,21.0,3,0,6,1,1,30,2
67,11,2013,8.0,6,0,3,2,1,30,1
428,34,2012,12.0,4,0,3,1,1,40,2
0,55,2013,19.0,6,0,6,1,1,30,1
0,13,2009,9.0,6,0,6,2,2,60,2
40,43,2012,22.0,2,0,3,1,1,70,1
23,1,2012,18.0,3,0,3,2,1,30,2
1086,11,2012,8.0,2,0,3,1,1,30,1
0,47,2011,10.0,2,0,6,2,1,30,3
634,31,2014,9.0,1,0,3,3,2,30,3
153,32,2005,11.0,6,0,3,2,2,60,1
4114,20,2006,14.0,7,0,3,2,2,30,3
2098,47,2005,16.0,3,0,4,1,1,30,1
406,1,2009,22.0,4,0,3,2,2,40,2
0,92,2011,9.0,6,0,6,2,1,30,1
167,41,2014,19.0,5,-1,5,2,1,30,3
628,14,2009,18.0,2,0,3,1,1,30,2
36,44,2013,20.0,2,0,3,1,4,60,2
27,44,2014,19.0,1,0,1,1,1,70,1
0,1,2006,17.0,3,0,5,3,2,30,1
6045,31,2011,15.0,7,0,4,2,2,60,1
0,50,2005,22.0,3,0,6,1,2,60,1
127,10,2009,20.0,5,0,5,2,1,30,3
80,96,2006,15.0,4,0,1,1,1,70,1
6117,13,2012,2.0,7,0,4,1,3,30,2
121,42,2006,7.0,5,0,3,3,2,60,1
1046,17,2010,8.0,5,0,3,1,1,40,3
46,31,2010,12.0,7,6097,3,2,1,60,3
0,92,2005,20.0,3,0,6,1,4,60,1
0,5,2012,11.0,3,0,6,2,3,30,1
4495,43,2006,10.0,5,0,4,2,1,30,2
3010,44,2011,17.0,5,0,3,2,2,40,2
5,53,2005,14.0,4,0,1,2,3,70,1
110,1,2011,3.0,7,0,3,2,4,30,1
25,41,2010,11.0,6,25,1,2,2,70,2
50,7,2011,10.0,7,0,3,2,2,30,3
1003,32,2014,11.0,3,0,4,2,1,30,3
48,61,2012,12.0,7,0,3,2,3,30,3
1286,10,2012,9.0,6,517,4,2,2,30,3
47,35,2009,17.0,3,0,3,5,3,60,2
9,91,2006,7.0,2,0,3,2,2,70,1
4022,43,2007,17.0,7,327,4,2,2,60,1
4000,43,2012,17.0,5,0,4,1,1,60,2
100,1,2006,7.0,4,0,3,2,1,30,3
212,1,2012,12.0,7,212,3,1,1,30,3
400,1,2006,15.0,5,506,3,2,1,30,2
