1st_Road_Number,Police_Force,Year,heure_num,Day_of_Week,2nd_Road_Number,1st_Road_Class,Number_of_Vehicles,Number_of_Casualties,Speed_limit,Accident_Severity
58,6,2013,11.0,3,0,3,1,2,50,1
0,13,2013,11.0,3,0,6,2,1,30,1
0,1,2007,13.0,1,0,6,2,3,30,1
104,42,2007,8.0,3,0,3,3,1,60,1
0,37,2013,12.0,1,0,6,1,1,30,0
40,63,2011,13.0,5,0,3,3,3,70,0
580,5,2014,8.0,3,0,3,2,2,40,0
0,95,2005,7.0,5,0,6,2,1,30,0
0,52,2009,19.0,1,-1,6,2,1,30,1
6,6,2012,20.0,7,0,3,1,1,30,0
0,13,2006,15.0,7,0,6,1,1,30,0
34,43,2010,13.0,6,0,3,2,1,70,1
6033,34,2011,10.0,4,6034,6,1,1,20,0
0,1,2005,19.0,4,0,6,2,1,30,0
832,97,2005,11.0,3,0,4,1,1,30,1
4174,52,2009,7.0,7,0,3,2,2,30,1
38,50,2006,12.0,3,0,3,2,1,60,1
0,97,2005,12.0,1,0,6,1,1,30,0
307,1,2013,9.0,7,0,3,2,1,30,1
6120,13,2007,5.0,5,0,3,2,1,30,0
35,44,2011,17.0,7,0,3,2,2,30,1
0,20,2011,18.0,6,0,6,2,1,30,0
1559,33,2014,17.0,2,0,5,1,1,30,1
35,55,2013,19.0,7,0,3,2,4,30,1
0,11,2012,17.0,7,0,6,1,1,30,0
0,1,2011,17.0,2,4200,5,1,1,30,0
38,53,2007,13.0,1,38,3,2,1,30,1
40,63,2011,12.0,3,4560,3,1,1,60,0
4285,62,2007,13.0,3,0,4,2,1,30,1
1060,42,2006,14.0,7,0,3,2,1,30,1
189,10,2007,10.0,3,0,3,1,1,70,1
302,1,2012,11.0,7,302,3,2,1,30,0
0,42,2014,15.0,7,0,6,2,1,30,0
343,43,2014,15.0,6,7139,3,2,1,30,0
1444,16,2005,18.0,6,0,4,2,2,30,0
0,52,2007,15.0,3,0,6,2,1,30,1
1027,33,2005,14.0,7,1037,5,1,1,30,1
6130,31,2012,11.0,5,0,3,2,1,30,1
406,1,2009,19.0,4,0,3,1,1,50,0
42,20,2010,17.0,3,0,1,2,1,70,1
646,13,2005,19.0,4,0,3,2,1,30,1
1,33,2005,7.0,5,0,1,2,1,70,1
147,36,2011,9.0,3,1151,3,2,1,30,1
315,1,2007,15.0,3,0,3,1,1,30,1
9107,92,2007,16.0,5,0,4,1,2,60,1
0,47,2009,16.0,7,0,6,2,1,30,1
0,1,2006,8.0,4,0,6,2,1,30,1
5032,21,2006,20.0,2,367,4,2,2,40,1
24,45,2009,4.0,6,240,3,1,4,40,0
6320,10,2005,19.0,4,0,4,3,2,60,1
